time,I
446.331,10.66
447.514,9.94
447.713,10.66
447.912,9.7
448.108,10.43
448.504,9.7
448.705,10.66
449.098,9.94
449.294,10.66
450.287,10.06
450.879,9.74
458.009,9.42
459.196,9.66
459.394,9.42
460.184,9.66
461.174,9.42
461.373,9.66
463.357,9.42
463.552,9.66
466.333,9.42
466.52,9.66
470.879,9.33
471.076,9.66
472.263,9.33
472.46,9.66
472.662,9.33
472.857,9.66
473.057,9.33
473.454,9.66
473.649,9.33
478.204,9.25
478.4,8.65
478.996,9.25
479.192,8.65
490.284,9.25
490.482,8.65
490.686,9.25
490.878,8.65
491.274,9.25
491.867,8.65
492.064,9.25
492.262,9.37
492.464,9.25
492.858,8.65
495.236,8.33
501.177,9.05
501.373,8.33
501.77,9.05
501.965,8.56
502.165,9.28
502.361,8.96
502.56,9.28
503.75,8.56
503.947,8.24
504.142,8.96
504.541,9.28
504.738,8.96
510.678,8.24
510.877,8.96
511.073,8.24
511.277,8.96
513.057,8.24
513.254,8.96
513.648,8.24
513.865,8.96
520.185,8.64
520.384,8.96
520.779,8.64
522.56,8.88
523.154,8.04
523.549,8.28
524.935,8.88
525.137,8.28
525.735,8.88
525.928,8.28
526.323,8.88
526.519,8.28
526.923,8.88
528.501,8.64
528.896,8.88
529.69,8.28
530.679,7.96
532.068,8.56
532.263,7.96
542.759,7.64
543.551,7.87
550.88,7.55
553.849,7.78
554.838,7.55
556.026,7.87
560.977,7.55
568.305,7.19
568.7,7.78
568.903,6.87
570.483,7.46
570.682,6.87
570.879,7.59
571.078,6.87
571.276,7.46
571.472,6.87
571.67,7.46
571.871,7.78
572.068,6.95
572.266,7.78
573.055,7.55
573.258,7.78
573.452,7.46
573.65,7.78
574.244,7.46
574.839,6.87
575.036,7.46
575.235,6.87
575.433,7.59
575.629,6.87
578.799,7.46
579.193,7.78
579.592,7.46
579.986,7.78
580.184,7.46
580.383,7.19
580.579,7.46
581.177,7.78
581.372,7.46
581.571,6.87
581.769,7.46
581.966,6.87
583.751,7.59
584.342,6.87
584.542,7.59
585.134,6.87
585.332,7.59
586.719,7.27
596.819,7.5
597.013,7.27
598.401,7.5
598.597,7.27
599.392,7.5
604.143,7.18
606.126,7.5
606.323,7.18
606.916,7.5
607.114,7.18
607.706,7.5
608.104,7.18
608.301,7.5
608.697,7.18
615.036,7.5
615.436,7.18
615.629,7.5
616.221,7.18
616.421,7.5
616.818,7.18
617.016,7.5
618.205,7.18
618.996,7.5
619.191,7.18
620.577,6.78
620.778,7.18
642.755,7.27
643.35,7.59
643.547,7.35
643.745,6.95
643.946,6.72
644.143,7.12
644.34,8.13
644.538,8.22
644.74,7.67
644.933,7.84
645.133,8.53
645.329,8.21
645.527,8.06
645.726,8.38
645.925,8.47
646.122,7.83
646.318,7.6
646.519,8.52
646.712,8.28
646.916,8.01
647.111,8.61
648.693,8.93
648.895,8.69
654.239,8.37
654.633,8.61
655.229,8.28
655.824,8.52
657.011,7.92
657.21,8.28
657.609,8.52
658.002,8.28
658.199,8.52
661.568,7.92
661.766,8.52
662.159,7.92
663.941,7.6
664.339,7.92
664.74,7.6
666.118,7.83
669.089,7.51
669.287,7.83
669.884,7.51
671.268,7.83
671.468,7.51
671.865,7.83
672.258,7.51
672.456,7.83
672.654,7.51
674.835,7.75
675.625,7.43
675.823,8.15
678.197,7.83
678.79,8.06
680.178,7.74
680.375,7.98
680.572,7.06
680.772,6.97
684.731,7.21
684.93,6.97
685.128,7.21
686.711,6.88
689.089,7.61
689.288,6.88
689.485,7.61
690.074,6.88
690.276,7.61
690.474,6.88
691.268,7.61
691.466,6.88
693.643,7.21
695.03,6.97
695.623,7.21
696.811,6.88
697.007,7.21
697.21,6.88
697.603,7.21
698,6.88
698.794,7.21
699.385,6.88
709.881,7.61
710.081,6.88
729.289,6.56
729.491,6.88
730.079,7.61
730.279,6.88
730.478,7.61
730.672,6.88
731.268,7.61
731.465,6.88
733.446,7.28
733.646,6.88
734.633,7.61
735.03,6.88
735.227,6.56
735.425,6.88
735.624,6.56
736.02,7.28
736.218,6.8
736.417,7.28
736.612,6.56
736.81,6.8
737.009,7.28
737.208,6.8
737.411,6.56
737.605,6.8
737.802,6.56
