#,Time (s),Position (m),Position (m)
166,3.32,0.664,0.645
167,3.34,0.667,0.643
168,3.36,0.671,0.64
169,3.38,0.675,0.635
170,3.4,0.679,0.628
171,3.42,0.683,0.62
172,3.44,0.686,0.611
173,3.46,0.689,0.602
174,3.48,0.691,0.592
175,3.5,0.69,0.582
176,3.52,0.689,0.572
177,3.54,0.686,0.563
178,3.56,0.681,0.555
179,3.58,0.68,0.548
180,3.6,0.676,0.543
181,3.62,0.672,0.539
182,3.64,0.668,0.537
183,3.66,0.665,0.537
184,3.68,0.662,0.539
185,3.7,0.661,0.543
186,3.72,0.661,0.548
187,3.74,0.662,0.555
188,3.76,0.664,0.563
189,3.78,0.667,0.571
190,3.8,0.671,0.581
191,3.82,0.675,0.591
192,3.84,0.68,0.601
193,3.86,0.684,0.611
194,3.88,0.687,0.62
195,3.9,0.689,0.627
196,3.92,0.691,0.634
197,3.94,0.691,0.639
198,3.96,0.689,0.643
199,3.98,0.687,0.645
200,4,0.684,0.645
201,4.02,0.68,0.643
202,4.04,0.676,0.639
203,4.06,0.671,0.634
204,4.08,0.668,0.627
205,4.1,0.664,0.619
206,4.12,0.662,0.61
207,4.14,0.661,0.601
208,4.16,0.661,0.591
209,4.18,0.662,0.581
210,4.2,0.665,0.571
211,4.22,0.668,0.562
212,4.24,0.672,0.554
213,4.26,0.676,0.548
214,4.28,0.681,0.543
215,4.3,0.684,0.539
216,4.32,0.688,0.538
217,4.34,0.69,0.538
218,4.36,0.691,0.54
219,4.38,0.691,0.543
220,4.4,0.689,0.549
221,4.42,0.687,0.556
222,4.44,0.683,0.564
223,4.46,0.679,0.573
224,4.48,0.675,0.582
225,4.5,0.671,0.593
226,4.52,0.667,0.602
227,4.54,0.664,0.612
228,4.56,0.662,0.621
229,4.58,0.661,0.629
230,4.6,0.661,0.635
231,4.62,0.663,0.64
232,4.64,0.665,0.644
233,4.66,0.669,0.645
234,4.68,0.673,0.645
235,4.7,0.677,0.643
236,4.72,0.681,0.639
237,4.74,0.685,0.633
238,4.76,0.688,0.627
239,4.78,0.69,0.619
240,4.8,0.691,0.609
241,4.82,0.69,0.6
242,4.84,0.689,0.59
243,4.86,0.686,0.58
244,4.88,0.682,0.57
245,4.9,0.678,0.561
246,4.92,0.674,0.554
247,4.94,0.67,0.547
248,4.96,0.666,0.542
249,4.98,0.663,0.539
250,5,0.661,0.537
251,5.02,0.661,0.538
252,5.04,0.661,0.54
253,5.06,0.663,0.544
254,5.08,0.666,0.549
255,5.1,0.67,0.556
256,5.12,0.674,0.565
257,5.14,0.678,0.574
258,5.16,0.682,0.583
259,5.18,0.686,0.593
260,5.2,0.688,0.603
261,5.22,0.69,0.613
262,5.24,0.691,0.621
263,5.26,0.69,0.629
264,5.28,0.688,0.636
265,5.3,0.685,0.64
266,5.32,0.682,0.643
267,5.34,0.677,0.645
268,5.36,0.673,0.644
269,5.38,0.669,0.642
270,5.4,0.665,0.638
271,5.42,0.663,0.632
272,5.44,0.661,0.625
273,5.46,0.661,0.617
274,5.48,0.662,0.608
275,5.5,0.664,0.598
276,5.52,0.667,0.588
277,5.54,0.67,0.579
278,5.56,0.675,0.569
279,5.58,0.679,0.561
280,5.6,0.683,0.553
281,5.62,0.686,0.547
282,5.64,0.689,0.542
283,5.66,0.69,0.539
284,5.68,0.691,0.537
285,5.7,0.69,0.538
286,5.72,0.688,0.54
287,5.74,0.684,0.544
288,5.76,0.681,0.55
289,5.78,0.676,0.557
290,5.8,0.672,0.566
291,5.82,0.668,0.575
292,5.84,0.665,0.584
293,5.86,0.662,0.594
294,5.88,0.661,0.604
295,5.9,0.661,0.614
296,5.92,0.662,0.622
297,5.94,0.664,0.63
298,5.96,0.667,0.636
299,5.98,0.671,0.641
300,6,0.675,0.644
301,6.02,0.68,0.645
302,6.04,0.684,0.645
303,6.06,0.687,0.642
304,6.08,0.689,0.638
305,6.1,0.691,0.632
306,6.12,0.691,0.625
307,6.14,0.689,0.616
308,6.16,0.687,0.607
309,6.18,0.684,0.597
310,6.2,0.68,0.587
311,6.22,0.676,0.577
312,6.24,0.672,0.568
313,6.26,0.668,0.56
314,6.28,0.665,0.552
315,6.3,0.662,0.546
316,6.32,0.661,0.541
317,6.34,0.661,0.539
318,6.36,0.663,0.538
319,6.38,0.665,0.538
320,6.4,0.668,0.541
321,6.42,0.672,0.545
322,6.44,0.676,0.551
323,6.46,0.681,0.558
324,6.48,0.684,0.567
325,6.5,0.687,0.576
326,6.52,0.69,0.586
327,6.54,0.691,0.596
328,6.56,0.69,0.605
329,6.58,0.689,0.615
330,6.6,0.686,0.623
331,6.62,0.683,0.631
332,6.64,0.679,0.637
333,6.66,0.675,0.641
334,6.68,0.671,0.644
335,6.7,0.667,0.645
336,6.72,0.664,0.644
337,6.74,0.662,0.641
338,6.76,0.661,0.637
339,6.78,0.662,0.631
340,6.8,0.663,0.623
341,6.82,0.666,0.615
342,6.84,0.669,0.606
343,6.86,0.673,0.596
344,6.88,0.677,0.586
345,6.9,0.681,0.577
346,6.92,0.685,0.567
347,6.94,0.688,0.559
348,6.96,0.69,0.552
349,6.98,0.691,0.546
350,7,0.69,0.541
351,7.02,0.689,0.539
352,7.04,0.686,0.538
353,7.06,0.682,0.539
354,7.08,0.678,0.541
355,7.1,0.674,0.546
356,7.12,0.67,0.552
357,7.14,0.667,0.559
358,7.16,0.664,0.568
359,7.18,0.662,0.577
360,7.2,0.661,0.587
361,7.22,0.662,0.597
362,7.24,0.664,0.606
363,7.26,0.666,0.616
364,7.28,0.67,0.624
365,7.3,0.674,0.631
366,7.32,0.678,0.637
367,7.34,0.682,0.641
368,7.36,0.686,0.644
369,7.38,0.688,0.644
370,7.4,0.69,0.643
371,7.42,0.69,0.641
372,7.44,0.69,0.636
373,7.46,0.688,0.63
374,7.48,0.685,0.622
375,7.5,0.681,0.614
376,7.52,0.677,0.605
377,7.54,0.673,0.595
378,7.56,0.669,0.585
379,7.58,0.666,0.576
380,7.6,0.663,0.566
381,7.62,0.662,0.558
382,7.64,0.661,0.551
383,7.66,0.662,0.545
384,7.68,0.664,0.541
385,7.7,0.667,0.538
386,7.72,0.671,0.538
387,7.74,0.675,0.539
388,7.76,0.679,0.542
389,7.78,0.683,0.546
390,7.8,0.686,0.553
391,7.82,0.689,0.56
392,7.84,0.69,0.569
393,7.86,0.69,0.578
394,7.88,0.689,0.588
395,7.9,0.687,0.598
396,7.92,0.684,0.607
397,7.94,0.68,0.616
398,7.96,0.676,0.625
399,7.98,0.672,0.632
400,8,0.668,0.637
401,8.02,0.665,0.642
402,8.04,0.663,0.644
403,8.06,0.662,0.644
404,8.08,0.662,0.643
405,8.1,0.663,0.64
406,8.12,0.665,0.635
407,8.14,0.668,0.629
408,8.16,0.672,0.622
409,8.18,0.676,0.613
410,8.2,0.68,0.604
411,8.22,0.684,0.594
412,8.24,0.687,0.584
413,8.26,0.689,0.574
414,8.28,0.69,0.565
415,8.3,0.69,0.557
416,8.32,0.689,0.55
417,8.34,0.686,0.545
418,8.36,0.683,0.541
419,8.38,0.679,0.538
420,8.4,0.675,0.538
421,8.42,0.671,0.539
422,8.44,0.667,0.542
423,8.46,0.664,0.547
424,8.48,0.662,0.553
425,8.5,0.661,0.561
426,8.52,0.661,0.569
427,8.54,0.663,0.579
428,8.56,0.665,0.589
429,8.58,0.668,0.598
430,8.6,0.672,0.608
431,8.62,0.676,0.617
432,8.64,0.681,0.625
433,8.66,0.684,0.632
434,8.68,0.687,0.638
435,8.7,0.689,0.642
436,8.72,0.69,0.644
437,8.74,0.69,0.644
438,8.76,0.688,0.643
439,8.78,0.686,0.639
440,8.8,0.683,0.635
441,8.82,0.679,0.628
442,8.84,0.674,0.621
443,8.86,0.67,0.612
444,8.88,0.667,0.603
445,8.9,0.664,0.593
446,8.92,0.662,0.583
447,8.94,0.661,0.573
448,8.96,0.662,0.565
449,8.98,0.663,0.557
450,9,0.666,0.55
451,9.02,0.67,0.544
452,9.04,0.673,0.54
453,9.06,0.678,0.538
454,9.08,0.682,0.538
455,9.1,0.685,0.54
456,9.12,0.688,0.543
457,9.14,0.69,0.548
458,9.16,0.69,0.554
459,9.18,0.69,0.562
460,9.2,0.688,0.571
461,9.22,0.685,0.58
462,9.24,0.682,0.59
463,9.26,0.678,0.6
464,9.28,0.673,0.609
465,9.3,0.669,0.618
466,9.32,0.666,0.626
467,9.34,0.663,0.633
468,9.36,0.662,0.638
469,9.38,0.661,0.642
470,9.4,0.662,0.644
471,9.42,0.664,0.645
472,9.44,0.666,0.643
473,9.46,0.67,0.639
474,9.48,0.674,0.634
475,9.5,0.678,0.628
476,9.52,0.682,0.62
477,9.54,0.686,0.611
478,9.56,0.688,0.602
479,9.58,0.69,0.592
480,9.6,0.69,0.582
481,9.62,0.689,0.573
482,9.64,0.687,0.564
483,9.66,0.684,0.556
484,9.68,0.681,0.549
485,9.7,0.677,0.544
486,9.72,0.673,0.54
487,9.74,0.669,0.538
488,9.76,0.666,0.538
489,9.78,0.663,0.54
490,9.8,0.662,0.543
491,9.82,0.661,0.549
492,9.84,0.662,0.555
493,9.86,0.664,0.563
494,9.88,0.667,0.572
495,9.9,0.671,0.581
496,9.92,0.675,0.591
497,9.94,0.679,0.601
498,9.96,0.683,0.61
499,9.98,0.686,0.619
500,10,0.689,0.627
501,10.02,0.69,0.634
502,10.04,0.69,0.639
503,10.06,0.689,0.642
504,10.08,0.687,0.644
505,10.1,0.684,0.644
506,10.12,0.68,0.642
507,10.14,0.676,0.638
508,10.16,0.672,0.633
509,10.18,0.668,0.627
510,10.2,0.665,0.619
511,10.22,0.662,0.61
512,10.24,0.661,0.6
513,10.26,0.661,0.591
